"filename", "language", "JSON with Comments", "Ignore", "Markdown", "JSON", "SQLite", "TypeScript JSX", "JavaScript", "TypeScript", "comment", "blank", "total"
"c:\Users\Boungo\Desktop\perso\levelUp\src\ui\theme\tokens.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 57, 0, 4, 61
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\00001_create_profiles.sql", "SQLite", 0, 0, 0, 0, 21, 0, 0, 0, 6, 6, 33
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\00002_create_habits.sql", "SQLite", 0, 0, 0, 0, 23, 0, 0, 0, 4, 7, 34
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\00003_create_completions.sql", "SQLite", 0, 0, 0, 0, 27, 0, 0, 0, 4, 5, 36
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\00004_create_streaks.sql", "SQLite", 0, 0, 0, 0, 36, 0, 0, 0, 4, 6, 46
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260329104340_create_profile_trigger.sql", "SQLite", 0, 0, 0, 0, 18, 0, 0, 0, 1, 2, 21
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260329104829_add_increment_xp_function.sql", "SQLite", 0, 0, 0, 0, 25, 0, 0, 0, 4, 3, 32
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405140000_v1_social_and_currency.sql", "SQLite", 0, 0, 0, 0, 95, 0, 0, 0, 30, 25, 150
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405160000_v2_shop_and_avatar.sql", "SQLite", 0, 0, 0, 0, 125, 0, 0, 0, 34, 36, 195
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405170000_achievements.sql", "SQLite", 0, 0, 0, 0, 59, 0, 0, 0, 17, 14, 90
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405171000_add_gold_rpc.sql", "SQLite", 0, 0, 0, 0, 11, 0, 0, 0, 1, 1, 13
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405180000_punishment_rpc.sql", "SQLite", 0, 0, 0, 0, 36, 0, 0, 0, 4, 4, 44
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405190000_extended_cosmetics.sql", "SQLite", 0, 0, 0, 0, 19, 0, 0, 0, 6, 2, 27
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260405200000_daily_quests.sql", "SQLite", 0, 0, 0, 0, 155, 0, 0, 0, 30, 33, 218
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260406100000_habit_content.sql", "SQLite", 0, 0, 0, 0, 9, 0, 0, 0, 3, 3, 15
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260406200000_habit_pause.sql", "SQLite", 0, 0, 0, 0, 3, 0, 0, 0, 3, 2, 8
"c:\Users\Boungo\Desktop\perso\levelUp\supabase\migrations\20260406210000_add_duels.sql", "SQLite", 0, 0, 0, 0, 31, 0, 0, 0, 6, 6, 43
"c:\Users\Boungo\Desktop\perso\levelUp\tsconfig.json", "JSON with Comments", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"Total", "-", 19, 9, 329, 16396, 693, 12064, 30, 4800, 704, 1988, 37032
